품명,유종,제한 거래처,,,,,
3.3떡볶이,대두,"경일, 씨오",,,,,
oec통치킨,혼합,"경일, 씨오",,,,,
고쿠텐,혼합,"경일, 씨오",,,,,
깨끗한,대두,"경일, 씨오",,,,,
나도람,혼합,"경일, 씨오",,,,,
다가치,대두,"경일, 씨오",,,,,
마마치킨,대두,"경일, 씨오",,,,,
바삭한하루,혼합,"경일, 씨오",,,,,
배떡@무지,대두,"경일, 씨오",,,,,
신라,혼합,"경일, 씨오",,,,,
신참,혼합,"경일, 씨오",,,,,
아라치,혼합,"경일, 씨오",,,,,
얌샘,혼합,"경일, 씨오",,,,,
양계장,혼합,"경일, 씨오",,,,,
에버랜드,혼합,"경일, 씨오",,,,,
응급실,혼합,"경일, 씨오",,,,,
장수통닭,대두,"경일, 씨오",,,,,
전설의치킨,혼합,"경일, 씨오",,,,,
제이에스,대두,"경일, 씨오",,,,,
조선칡냉면,대두,"경일, 씨오",,,,,
지에이엠,대두,"경일, 씨오",,,,,
쿠우쿠우,혼합,"경일, 씨오",,,,,
푸드딜,대두,"경일, 씨오",,,,,
필통치킨,대두,"경일, 씨오",,,,,
하이골드,대두,"경일, 씨오",,,,,
한산카놀라유,채종,"경일, 씨오",,,,,
한산프리미엄,대두,"경일, 씨오",,,,,
한산해바라기,해바,"경일, 씨오",,,,,
해두리,혼합,"경일, 씨오",,,,,
두리본,두리본,두리본,,,,,
펭귄,대두,디에스,,,,,
햇살콩,대두,디에이치,,,,,
한산옥수수,옥수수,범용,,,,,
국대푸드,채종,"성규, 씨오",,,,,
그린마켓,대두,"성규, 씨오",,,,,
긴자료코,대두,"성규, 씨오",,,,,
긴자료코,대두,"성규, 씨오",,,,,
깡우동,혼합,"성규, 씨오",,,,,
노블쉐프,대두,"성규, 씨오",,,,,
노블카놀,채종,"성규, 씨오",,,,,
당치땡,해혼,"성규, 씨오",,,,,
동동꽈배기,채종,"성규, 씨오",,,,,
뜨돈,대두,"성규, 씨오",,,,,
마라공방,대두,"성규, 씨오",,,,,
박군,혼합,"성규, 씨오",,,,,
보배반점,해혼,"성규, 씨오",,,,,
브뤼셀,대두,"성규, 씨오",,,,,
빌리어네어,대두,"성규, 씨오",,,,,
식자재대통령,대두,"성규, 씨오",,,,,
쌍팔통닭,혼합,"성규, 씨오",,,,,
썬더,혼합,"성규, 씨오",,,,,
오름,혼합,"성규, 씨오",,,,,
온기정,혼합,"성규, 씨오",,,,,
우동키노야,혼합,"성규, 씨오",,,,,
위드인걸작,혼합,"성규, 씨오",,,,,
유미카츠,채종,"성규, 씨오",,,,,
잘고른,대두,"성규, 씨오",,,,,
제주쾅쾅,대두,"성규, 씨오",,,,,
최고당돈까스,대두,"성규, 씨오",,,,,
카츠와이찌,대두,"성규, 씨오",,,,,
큰손닭강정,혼합,"성규, 씨오",,,,,
프랭크,혼합,"성규, 씨오",,,,,
한산해바라기,해바,"성규, 씨오",,,,,
호맥@생활,혼합,"성규, 씨오",,,,,
온새미로,대두,온새미로,,,,,
고메,이관품,이관품,,,,,
골드후라잉,이관품,이관품,,,,,
금별,이관품,이관품,,,,,
기영,이관품,이관품,,,,,
노랑강정,이관품,이관품,,,,,
달떡볶이,이관품,이관품,,,,,
돈지,이관품,이관품,,,,,
마전,이관품,이관품,,,,,
면식당,이관품,이관품,,,,,
모미락,이관품,이관품,,,,,
배떡,이관품,이관품,,,,,
생활,이관품,이관품,,,,,
안심콩,이관품,이관품,,,,,
오래유,이관품,이관품,,,,,
이관품,이관품,이관품,,,,,
인정,이관품,이관품,,,,,
중화유,이관품,이관품,,,,,
휴게소,이관품,이관품,,,,,
맑은,대두,황금알,,,,,
컨테이너,대두,황금알,,,,,

